ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 11:02:35 757m





Relative time,HS3(27295).Ch1,HS3(27295).Ch2
s,V,V
0.701,-1.5098877,-0.26955566
0.702,-1.4532471,-0.25744629
0.703,-1.3614502,-0.24299316
0.704,-1.2813721,-0.22814941
0.705,-1.1876221,-0.20979004
0.706,-1.0684814,-0.18986816
0.707,-0.9630127,-0.16955566
0.708,-0.83215332,-0.14963379
0.709,-0.70129395,-0.12346191
0.71,-0.55285645,-0.099243164
0.711,-0.4083252,-0.073071289
0.712,-0.2755127,-0.048852539
0.713,-0.11730957,-0.020727539
0.714,0.029174805,0.0054443359
0.715,0.18737793,0.028881836
0.716,0.32995605,0.057788086
0.717,0.47253418,0.079272461
0.718,0.61901855,0.10505371
0.719,0.7401123,0.12966309
0.72,0.8416748,0.15270996
0.721,0.96862793,0.17224121
0.722,1.0955811,0.19333496
0.723,1.1815186,0.20974121
0.724,1.3006592,0.22810059
0.725,1.3807373,0.24294434
0.726,1.4647217,0.25583496
0.727,1.5272217,0.27145996
0.728,1.5701904,0.28005371
0.729,1.6287842,0.28786621
0.73,1.6580811,0.29333496
0.731,1.6619873,0.29645996
0.732,1.6697998,0.29724121
0.733,1.6522217,0.29606934
0.734,1.6346436,0.29177246
0.735,1.5897217,0.28552246
0.736,1.5408936,0.27575684
0.737,1.4842529,0.26442871
0.738,1.3924561,0.25310059
0.739,1.3240967,0.23942871
0.74,1.2283936,0.22263184
0.741,1.1229248,0.20427246
0.742,1.0037842,0.18200684
0.743,0.8807373,0.16130371
0.744,0.7479248,0.13942871
0.745,0.61120605,0.11481934
0.746,0.4666748,0.089819336
0.747,0.3182373,0.062084961
0.748,0.19128418,0.038256836
0.749,0.04675293,0.013256836
0.75,-0.041137695,-0.0093994141
0.751,-0.20715332,-0.036743164
0.752,-0.32629395,-0.060571289
0.753,-0.48254395,-0.086352539
0.754,-0.62512207,-0.11213379
0.755,-0.7520752,-0.13596191
0.756,-0.89074707,-0.15861816
0.757,-1.0020752,-0.18049316
0.758,-1.1153564,-0.20158691
0.759,-1.2169189,-0.21877441
0.76,-1.3028564,-0.23752441
0.761,-1.3966064,-0.25393066
0.762,-1.4727783,-0.26760254
0.763,-1.5313721,-0.27971191
0.764,-1.5919189,-0.28830566
0.765,-1.6231689,-0.29533691
0.766,-1.6544189,-0.30080566
0.767,-1.6739502,-0.30393066
0.768,-1.6661377,-0.30471191
0.769,-1.6505127,-0.30119629
0.77,-1.6212158,-0.29611816
0.771,-1.5782471,-0.28986816
0.772,-1.5352783,-0.28205566
0.773,-1.4669189,-0.26799316
0.774,-1.3985596,-0.25471191
0.775,-1.3087158,-0.23986816
0.776,-1.2091064,-0.22111816
0.777,-1.1134033,-0.20236816
0.778,-0.99035645,-0.18088379
0.779,-0.8614502,-0.15783691
0.78,-0.73254395,-0.13400879
0.781,-0.59191895,-0.11096191
0.782,-0.45910645,-0.085571289
0.783,-0.3067627,-0.058227539
0.784,-0.1661377,-0.032446289
0.785,-0.02746582,-0.0070556641
0.786,0.1307373,0.022241211
0.787,0.27722168,0.046850586
0.788,0.41394043,0.074975586
0.789,0.56433105,0.099584961
0.79,0.68933105,0.12497559
0.791,0.7713623,0.14645996
0.792,0.91589355,0.16911621
0.793,1.0350342,0.19060059
0.794,1.1307373,0.20739746
0.795,1.2498779,0.22810059
0.796,1.3280029,0.24372559
0.797,1.4217529,0.25895996
0.798,1.4959717,0.27106934
