ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2013-01-10 10:56:52 797m





Relative time,HS3(27295).Ch2
s,V
0.843,0.25135498
0.844,0.24100342
0.845,0.23143311
0.846,0.21912842
0.847,0.20701904
0.848,0.19256592
0.849,0.18084717
0.85,0.16834717
0.851,0.14959717
0.852,0.13221436
0.853,0.11678467
0.854,0.09979248
0.855,0.07947998
0.856,0.061120605
0.857,0.042956543
0.858,0.023815918
0.859,0.003503418
0.86,-0.015441895
0.861,-0.034191895
0.862,-0.053137207
0.863,-0.071887207
0.864,-0.09005127
0.865,-0.10997314
0.866,-0.12755127
0.867,-0.14649658
0.868,-0.15997314
0.869,-0.17716064
0.87,-0.19219971
0.871,-0.20548096
0.872,-0.21856689
0.873,-0.22735596
0.874,-0.23809814
0.875,-0.24962158
0.876,-0.25469971
0.877,-0.26407471
0.878,-0.27091064
0.879,-0.27325439
0.88,-0.27501221
0.881,-0.27501221
0.882,-0.27716064
0.883,-0.27657471
0.884,-0.27559814
0.885,-0.27149658
0.886,-0.26641846
0.887,-0.26075439
0.888,-0.25411377
0.889,-0.24591064
0.89,-0.23575439
0.891,-0.22442627
0.892,-0.21114502
0.893,-0.19825439
0.894,-0.18692627
0.895,-0.17423096
0.896,-0.15762939
0.897,-0.14239502
0.898,-0.12520752
0.899,-0.10743408
0.9,-0.090441895
0.901,-0.070324707
0.902,-0.051184082
0.903,-0.030285645
0.904,-0.01192627
0.905,0.0099487305
0.906,0.027722168
0.907,0.046276855
0.908,0.063464355
0.909,0.082214355
0.91,0.10213623
0.911,0.11932373
0.912,0.13572998
0.913,0.15291748
0.914,0.16580811
0.915,0.18045654
0.916,0.19354248
0.917,0.20565186
0.918,0.21776123
0.919,0.22615967
0.92,0.23572998
0.921,0.24608154
0.922,0.25291748
0.923,0.25877686
0.924,0.26229248
0.925,0.26561279
0.926,0.26854248
0.927,0.26737061
0.928,0.26893311
0.929,0.26502686
0.93,0.26229248
0.931,0.26014404
0.932,0.25096436
0.933,0.24647217
0.934,0.23865967
0.935,0.22947998
0.936,0.21873779
0.937,0.20115967
0.938,0.19471436
0.939,0.18123779
0.94,0.16795654
0.941,0.15428467
0.942,0.13944092
0.943,0.12283936
0.944,0.10643311
0.945,0.089831543
0.946,0.073620605
0.947,0.05526123
0.948,0.036120605
0.949,0.018737793
0.95,0.00037841797
0.951,-0.017785645
0.952,-0.034387207
0.953,-0.053918457
0.954,-0.073059082
0.955,-0.091223145
0.956,-0.11134033
0.957,-0.12716064
0.958,-0.14337158
0.959,-0.15802002
0.96,-0.17286377
0.961,-0.18477783
0.962,-0.19864502
0.963,-0.20841064
0.964,-0.22091064
0.965,-0.22911377
0.966,-0.23868408
0.967,-0.24708252
0.968,-0.25274658
0.969,-0.26134033
0.97,-0.26427002
0.971,-0.26680908
0.972,-0.26915283
0.973,-0.26895752
0.974,-0.26934814
0.975,-0.26719971
0.976,-0.26407471
0.977,-0.26075439
0.978,-0.25235596
0.979,-0.24395752
0.98,-0.23887939
0.981,-0.22813721
0.982,-0.21700439
0.983,-0.20665283
0.984,-0.19434814
0.985,-0.17989502
0.986,-0.16641846
0.987,-0.15235596
0.988,-0.13712158
0.989,-0.12188721
0.99,-0.10157471
0.991,-0.08380127
0.992,-0.067004395
0.993,-0.04864502
0.994,-0.025793457
0.995,-0.006652832
0.996,0.012683105
0.997,0.032019043
0.998,0.049597168
0.999,0.069519043
